Id,Label,timeset,modularity_class,pageranks
Alterosa,Alterosa,,2,0.001307
Botelhos,Botelhos,,2,0.00115
"Águas Formosas",Águas Formosas,,3,0.0016
Bonito de Minas,Bonito de Minas,,0,0.000253
Dom Silvério,Dom Silvério,,3,0.001009
Sem-Peixe,Sem-Peixe,,3,0.000277
Santana dos Montes,Santana dos Montes,,5,0.000432
Cascalho Rico,Cascalho Rico,,6,0.00025
Joăo Pinheiro,Joăo Pinheiro,,0,0.00195
Nova Era,Nova Era,,3,0.003815
Caraí,Caraí,,3,0.000311
Catuji,Catuji,,3,0.001678
Conceiçăo do Rio Verde,Conceiçăo do Rio Verde,,1,0.00054
José Raydan,José Raydan,,4,0.001349
Peçanha,Peçanha,,4,0.001038
Săo Francisco do Glória,Săo Francisco do Glória,,3,0.000583
Abadia dos Dourados,Abadia dos Dourados,,6,0.000855
Romaria,Romaria,,6,0.000789
Alvarenga,Alvarenga,,3,0.000396
Conselheiro Pena,Conselheiro Pena,,3,0.001451
Săo Joăo del Rei,Săo Joăo del Rei,,1,0.004559
Pains,Pains,,6,0.000473
Conceiçăo da Aparecida,Conceiçăo da Aparecida,,2,0.001165
Paraisópolis,Paraisópolis,,1,0.001623
Campanha,Campanha,,1,0.001311
Ipiaçu,Ipiaçu,,6,0.000455
Ituiutaba,Ituiutaba,,6,0.002282
Itinga,Itinga,,3,0.000946
Botumirim,Botumirim,,0,0.000441
Francisco Sá,Francisco Sá,,0,0.001682
Bambuí,Bambuí,,6,0.002314
Canaă,Canaă,,5,0.000605
Bela Vista de Minas,Bela Vista de Minas,,3,0.001098
Brás Pires,Brás Pires,,5,0.00084
Senhora de Oliveira,Senhora de Oliveira,,5,0.000934
Carmo do Cajuru,Carmo do Cajuru,,6,0.000633
Catas Altas da Noruega,Catas Altas da Noruega,,5,0.001248
Conceiçăo de Ipanema,Conceiçăo de Ipanema,,3,0.000681
Săo Geraldo,Săo Geraldo,,5,0.001157
Tiradentes,Tiradentes,,5,0.000693
Morro do Pilar,Morro do Pilar,,4,0.000824
Coluna,Coluna,,4,0.001476
Passa Quatro,Passa Quatro,,1,0.000946
Bonfim,Bonfim,,0,0.001516
Ibirité,Ibirité,,0,0.00058
Igaratinga,Igaratinga,,6,0.000703
Santos Dumont,Santos Dumont,,5,0.001921
Bueno Brandăo,Bueno Brandăo,,1,0.000415
Rio Espera,Rio Espera,,5,0.000709
Palma,Palma,,5,0.000465
Ressaquinha,Ressaquinha,,5,0.001333
Pedras de Maria da Cruz,Pedras de Maria da Cruz,,0,0.001649
Săo Romăo,Săo Romăo,,0,0.000468
Ipaba,Ipaba,,3,0.000495
Frei Inocęncio,Frei Inocęncio,,3,0.002985
Jampruca,Jampruca,,3,0.000307
Uniăo de Minas,Uniăo de Minas,,6,0.00031
Durandé,Durandé,,3,0.001182
Toledo,Toledo,,1,0.000624
Capetinga,Capetinga,,2,0.000491
Paracatu,Paracatu,,6,0.002353
Santa Cruz de Salinas,Santa Cruz de Salinas,,3,0.000344
Santa Maria do Suaçuí,Santa Maria do Suaçuí,,4,0.001409
Bocaiúva,Bocaiúva,,0,0.00331
Lagoa Grande,Lagoa Grande,,6,0.000406
Engenheiro Navarro,Engenheiro Navarro,,0,0.001242
Bom Despacho,Bom Despacho,,6,0.002161
Camacho,Camacho,,6,0.000258
Itapecerica,Itapecerica,,6,0.001436
Pingo-d'Água,Pingo-d'Água,,3,0.000588
Carvalhópolis,Carvalhópolis,,1,0.000644
Săo Gonçalo do Sapucaí,Săo Gonçalo do Sapucaí,,1,0.001616
Prados,Prados,,5,0.001007
Santa Bárbara do Leste,Santa Bárbara do Leste,,3,0.001953
Dores de Campos,Dores de Campos,,5,0.001064
Aiuruoca,Aiuruoca,,1,0.00171
Andrelândia,Andrelândia,,1,0.001443
Senhora do Porto,Senhora do Porto,,4,0.002199
Arantina,Arantina,,1,0.000709
Bom Jardim de Minas,Bom Jardim de Minas,,1,0.00156
Indianópolis,Indianópolis,,6,0.00056
Itabirito,Itabirito,,3,0.002109
Araporă,Araporă,,6,0.000397
Tupaciguara,Tupaciguara,,6,0.0005
Ataléia,Ataléia,,3,0.000246
Crisólita,Crisólita,,3,0.001433
Crucilândia,Crucilândia,,0,0.00134
Sarzedo,Sarzedo,,0,0.00058
Cuparaque,Cuparaque,,3,0.000459
Goiabeira,Goiabeira,,3,0.000459
Joaíma,Joaíma,,3,0.000862
Ilicínea,Ilicínea,,2,0.00075
Dom Cavati,Dom Cavati,,3,0.002656
Itaúna,Itaúna,,6,0.002281
Sardoá,Sardoá,,4,0.00106
Săo Joăo Evangelista,Săo Joăo Evangelista,,4,0.002354
Santo Antônio do Amparo,Santo Antônio do Amparo,,2,0.002493
Ipuiúna,Ipuiúna,,2,0.000731
Campina Verde,Campina Verde,,6,0.001063
Cajuri,Cajuri,,5,0.000262
Conceiçăo do Pará,Conceiçăo do Pará,,6,0.000942
Pitangui,Pitangui,,6,0.001225
Consolaçăo,Consolaçăo,,1,0.000467
Dom Joaquim,Dom Joaquim,,4,0.00081
Maravilhas,Maravilhas,,0,0.001274
Papagaios,Papagaios,,0,0.001264
Mirabela,Mirabela,,0,0.002143
Luminárias,Luminárias,,1,0.000556
Nova Ponte,Nova Ponte,,6,0.001492
Areado,Areado,,2,0.001852
Guaraciaba,Guaraciaba,,5,0.000418
Curral de Dentro,Curral de Dentro,,3,0.000928
Engenheiro Caldas,Engenheiro Caldas,,3,0.002076
Fernandes Tourinho,Fernandes Tourinho,,3,0.00068
Săo Gonçalo do Rio Abaixo,Săo Gonçalo do Rio Abaixo,,3,0.001538
Carbonita,Carbonita,,4,0.001891
Itaverava,Itaverava,,5,0.001248
Córrego Novo,Córrego Novo,,3,0.000359
Cristais,Cristais,,6,0.000551
Santa Luzia,Santa Luzia,,0,0.000387
Bom Jesus do Amparo,Bom Jesus do Amparo,,0,0.000444
Carmésia,Carmésia,,4,0.000638
Alvorada de Minas,Alvorada de Minas,,4,0.000979
Conceiçăo do Mato Dentro,Conceiçăo do Mato Dentro,,4,0.001219
Iguatama,Iguatama,,6,0.002114
Brazópolis,Brazópolis,,1,0.000797
Mário Campos,Mário Campos,,0,0.00058
Inimutaba,Inimutaba,,4,0.000921
Frutal,Frutal,,6,0.00205
Itapagipe,Itapagipe,,6,0.000932
Itamogi,Itamogi,,2,0.000793
Lima Duarte,Lima Duarte,,1,0.001625
Santa Bárbara do Monte Verde,Santa Bárbara do Monte Verde,,5,0.000495
Itambacuri,Itambacuri,,3,0.002583
Medina,Medina,,3,0.001494
Caldas,Caldas,,2,0.000731
Ervália,Ervália,,5,0.000859
Fortaleza de Minas,Fortaleza de Minas,,2,0.000256
Cambuquira,Cambuquira,,1,0.002395
Cantagalo,Cantagalo,,4,0.000734
