freq,casos,p_rt1,p_inc100k,nivel
769,44,0,149,4
769,31,0,108,4
769,50,0,178,4
769,33,0,117,4
769,51,0,191,4
769,86,0,350,4
769,101,0,449,4
769,76,0,376,4
769,32,0,184,4
272,0,0,0,1
272,1,0,11,1
272,1,0,11,1
272,2,0,22,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,2,0,22,1
272,1,0,11,1
272,1,0,11,1
272,0,0,0,1
272,1,0,11,1
272,3,0,34,1
272,1,0,11,1
272,9,0,102,1
272,10,0,113,1
272,17,0,192,3
272,12,0,136,4
272,8,0,90,2
272,9,0,102,2
272,6,0,68,2
272,4,0,45,2
272,3,0,34,1
272,4,0,45,1
272,4,0,45,1
272,1,0,11,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,1,0,11,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,2,0,22,1
272,1,0,11,1
272,2,0,22,1
272,2,0,22,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,0,0,0,1
272,1,0,11,1
272,1,0,11,1
272,0,0,0,1
272,0,0,0,1
272,4,0,45,1
272,4,0,45,1
272,6,0,68,1
272,5,0,56,1
272,6,0,68,1
272,8,0,90,1
272,4,0,45,1
272,6,0,68,1
272,18,0,215,1
272,13,0,158,4
272,22,0,283,4
272,9,0,113,2
272,14,0,192,2
272,19,0,306,4
272,10,0,192,4
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,0,0,0,1
207,2,0,25,1
207,6,0,75,1
207,9,0,125,1
207,6,0,87,1
207,17,0,275,1
207,4,0,62,1
207,12,0,262,1
3218,0,0,0,1
3218,8,0,32,1
3218,2,0,8,1
3218,4,0,16,1
3218,1,0,4,1
3218,2,0,8,1
3218,0,0,0,1
3218,0,0,0,1
3218,0,0,0,1
3218,1,0,4,1
3218,0,0,0,1
3218,1,0,4,1
3218,0,0,0,1
3218,0,0,0,1
3218,0,0,0,1
3218,0,0,0,1
3218,0,0,0,1
3218,0,0,0,1
3218,1,0,4,1
3218,0,0,0,1
